DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
ANGUL,1957,33.0,35.5,30.0,15.9,5.8,189.3,362.8,343.8,210.5,43.0,0.0,0.0,1269.5,68.5,51.7,1106.4,43.0
ANGUL,1958,4.6,80.1,22.9,18.9,10.3,176.1,375.9,302.8,299.4,167.1,5.9,0.0,1464.0,84.7,52.0,1154.2,173.0
ANGUL,1959,0.0,0.2,50.8,132.5,315.1,266.4,213.9,100.6,0.0,5.0,51.0,927.9,105.6
ANGUL,1960,0.0,0.4,86.6,12.7,17.8,240.6,546.2,515.4,230.6,174.8,0.0,0.0,1825.1,0.4,117.1,1532.8,174.8
ANGUL,1961,32.2,370.1,1.2,14.6,103.8,289.8,386.9,338.0,407.0,177.9,26.4,0.6,2148.5,402.3,119.6,1421.7,204.9
ANGUL,1962,3.8,0.0,22.0,39.2,47.8,187.8,245.3,213.3,146.6,144.8,0.0,27.5,1078.1,3.8,109.0,793.0,172.3
ANGUL,1963,0.0,0.0,8.4,47.2,114.2,354.8,330.3,370.4,264.0,0.0,169.8,1319.5
ANGUL,1964,0.0,47.0,15.2,44.5,5.7,204.6,242.1,331.5,299.0,41.8,5.2,0.0,1236.6,47.0,65.4,1077.2,46.9
ANGUL,1965,8.6,45.5,25.6,87.0,13.6,39.4,264.4,128.4,251.0,59.6,0.0,0.0,923.1,54.1,126.2,683.2,59.6
ANGUL,1966,52.8,2.0,0.0,12.1,8.7,120.9,412.1,243.9,90.2,24.8,44.4,1.6,1013.5,54.8,20.8,867.1,70.8
ANGUL,1967,58.6,0.0,75.1,35.0,4.5,164.1,347.8,257.7,240.6,25.8,0.0,0.0,1209.3,58.6,114.7,1010.2,25.8
ANGUL,1968,2.2,28.5,6.2,24.8,1.4,313.3,187.7,208.0,9.0,0.0,30.7,32.4
ANGUL,1969,0.0,0.0,18.0,39.2,95.6,181.4,346.0,302.0,193.6,8.6,26.2,2.8,1213.4,0.0,152.8,1023.0,37.6
ANGUL,1970,0.0,39.2,61.9,27.7,67.1,377.5,169.4,255.9,200.0,32.4,1.3,0.0,1232.3,39.2,156.7,1002.7,33.7
ANGUL,1971,22.7,8.7,0.8,63.5,126.3,328.6,305.0,423.1,165.1,189.3,0.0,0.0,1633.1,31.3,190.6,1221.9,189.3
ANGUL,1972,0.0,14.8,0.0,40.0,24.4,278.4,251.7,343.0,55.7,43.2,0.0,14.8,64.4,98.9
ANGUL,1973,0.0,3.3,54.5,3.0,52.8,84.4,419.5,406.8,324.2,227.1,6.8,3.3,1585.8,3.4,110.3,1234.8,237.2
ANGUL,1974,0.0,0.5,14.5,1.6,37.4,122.4,229.8,303.8,138.5,70.5,0.1,0.0,919.0,0.5,53.5,794.5,70.6
ANGUL,1975,0.0,15.5,50.9,73.0,18.8,84.8,330.9,426.9,295.6,124.1,6.3,0.0,1427.0,15.5,142.8,1138.3,130.4
ANGUL,1976,0.0,3.2,7.5,51.2,37.8,130.5,180.7,301.4,198.6,6.2,17.2,0.0,934.4,3.2,96.5,811.3,23.4
ANGUL,1977,3.5,5.3,0.0,59.5,180.4,217.4,236.7,251.5,211.8,42.6,84.0,15.0,1307.5,8.8,239.9,917.3,141.6
ANGUL,1978,22.0,44.8,36.2,29.3,33.3,156.0,293.7,441.0,128.7,89.1,30.4,0.0,1304.4,66.8,98.8,1019.4,119.5
ANGUL,1979,1.0,6.4,1.2,24.9,23.4,149.7,197.4,204.2,143.3,24.3,0.8,4.3,781.0,7.4,49.5,694.6,29.4
ANGUL,1980,20.7,15.5,32.3,7.8,30.4,345.7,389.9,224.8,246.9,39.5,1.0,0.1,1354.5,36.2,70.6,1207.3,40.5
ANGUL,1981,8.4,2.7,35.7,23.8,96.1,199.2,196.3,303.0,227.5,12.7,0.0,0.0,1105.4,11.1,155.5,926.0,12.7
ANGUL,1982,0.3,39.1,123.2,30.4,26.2,207.2,178.9,508.6,98.5,8.4,0.2,0.0,1220.8,39.3,179.7,993.2,8.6
ANGUL,1983,0.0,26.5,60.0,76.7,44.5,140.3,255.8,468.5,334.3,70.3,0.0,1.2,1478.1,26.5,181.3,1198.9,71.4
ANGUL,1984,5.3,4.4,0.6,28.0,48.8,252.3,305.8,527.2,137.8,37.0,0.0,0.0,1347.1,9.6,77.4,1223.1,37.0
ANGUL,1985,16.1,45.8,1.9,9.9,44.7,159.5,207.5,589.9,318.8,165.6,0.0,0.0,1559.7,61.9,56.5,1275.7,165.6
ANGUL,1986,35.5,33.1,8.6,33.9,34.5,427.9,410.6,225.0,265.1,100.5,48.1,25.0,1647.8,68.6,77.0,1328.7,173.6
ANGUL,1987,2.7,2.5,7.4,25.6,26.2,101.0,381.1,202.5,136.7,54.7,97.2,2.6,1040.1,5.2,59.2,821.2,154.5
ANGUL,1988,0.0,48.5,32.3,41.2,58.5,251.4,232.6,322.6,256.5,53.4,2.0,0.0,1298.9,48.5,132.0,1063.0,55.3
ANGUL,1989,0.0,0.0,1.5,1.0,83.7,390.0,294.7,349.5,210.3,39.9,0.0,0.0,1370.6,0.0,86.2,1244.5,39.9
ANGUL,1990,0.0,30.0,75.4,74.0,139.2,275.8,228.6,377.1,239.9,232.1,92.5,0.2,1764.8,30.0,288.6,1121.4,324.8
ANGUL,1991,16.1,0.1,21.9,34.7,41.9,172.3,408.8,497.1,152.0,113.8,44.2,13.3,1516.1,16.3,98.5,1230.1,171.3
ANGUL,1992,11.1,15.2,0.7,24.6,27.5,100.9,464.8,325.8,251.5,51.4,0.1,0.0,1273.7,26.4,52.8,1143.1,51.5
ANGUL,1993,0.0,0.0,14.1,72.8,108.1,283.6,421.4,374.8,362.9,75.9,1.3,0.0,1715.0,0.0,195.0,1442.7,77.2
ANGUL,1994,0.2,51.8,0.0,42.5,37.4,265.7,1313.0,537.3,314.8,57.5,0.7,0.0,2620.9,52.1,79.9,2430.7,58.2
ANGUL,1995,82.3,33.0,17.1,37.2,309.7,142.1,254.3,293.5,197.3,125.4,105.7,0.0,1597.5,115.3,364.0,887.2,231.1
ANGUL,1996,5.3,6.6,0.7,7.1,27.9,284.6,250.6,267.0,112.9,57.9,8.5,0.0,1029.1,11.8,35.8,915.1,66.4
ANGUL,1997,21.1,4.8,42.0,115.1,48.2,256.5,301.2,519.5,216.9,55.8,12.2,82.0,1675.4,25.9,205.3,1294.2,150.0
ANGUL,1998,30.0,16.3,64.2,38.1,71.2,173.3,252.1,222.0,293.8,125.9,49.2,0.0,1336.1,46.3,173.5,941.2,175.1
ANGUL,1999,0.0,0.0,0.0,3.9,209.0,212.9,304.8,344.2,338.0,252.6,3.9,0.0,1669.4,0.0,212.9,1199.9,256.5
ANGUL,2000,0.3,38.7,1.4,52.2,96.3,265.0,258.6,253.7,158.3,22.6,0.9,0.0,1148.1,39.0,150.0,935.6,23.5
ANGUL,2001,0.2,0.0,41.5,24.2,58.6,307.5,728.3,375.6,109.2,113.7,5.9,0.0,1764.7,0.2,124.3,1520.5,119.7
ANGUL,2002,7.1,0.0,11.1,32.9,78.6,151.9,80.0,350.6,286.0,8.5,7.4,0.0,1014.0,7.1,122.6,868.4,15.9
ANGUL,2003,0.0,11.5,13.0,27.5,30.9,297.7,397.6,479.0,337.8,244.3,7.5,18.9,1865.7,11.5,71.3,1512.2,270.7
ANGUL,2004,4.4,7.0,24.3,54.5,41.0,151.9,415.1,388.8,132.0,102.2,0.0,0.0,1321.2,11.4,119.8,1087.8,102.2
ANGUL,2005,29.4,2.2,40.6,15.4,55.6,257.9,669.0,200.4,219.1,248.8,5.2,0.2,1743.9,31.6,111.6,1346.5,254.2
ANGUL,2006,0.0,0.0,25.5,19.2,88.6,175.8,324.0,580.3,201.9,20.8,7.7,0.0,1443.8,0.0,133.3,1282.0,28.5
ANGUL,2007,1.4,19.2,8.1,41.5,64.9,220.4,298.4,292.8,410.5,39.8,6.8,0.0,1403.8,20.7,114.5,1222.0,46.6
ANGUL,2008,55.0,10.6,10.9,32.0,37.5,398.6,295.4,296.6,344.2,16.3,0.2,0.0,1497.3,65.5,80.4,1334.8,16.5
ANGUL,2009,0.0,0.0,2.4,0.0,69.7,55.2,596.4,265.2,109.5,120.7,27.2,0.0,1246.5,0.0,72.2,1026.4,147.9
ANGUL,2010,1.8,1.3,25.9,0.5,105.7,107.3,224.0,221.8,175.1,75.6,12.2,35.2,986.3,3.0,132.0,728.2,123.0
DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
BALASORE,1901,49.0,55.3,19.1,55.7,68.4,104.4,180.0,251.8,404.4,106.3,117.2,0.0,1411.6,104.3,143.2,940.5,223.5
BALASORE,1902,0.0,0.0,68.7,87.3,124.4,120.2,471.9,293.3,181.2,39.6,0.8,29.4,1416.7,0.0,280.4,1066.6,69.8
BALASORE,1903,68.8,28.4,55.7,70.4,28.0,223.8,330.8,233.8,418.9,388.7,14.3,0.0,1861.6,97.3,154.1,1207.3,403.0
BALASORE,1904,0.4,24.8,35.8,26.4,114.5,298.0,316.0,349.2,247.1,55.9,0.3,8.1,1476.8,25.3,176.8,1210.3,64.4
BALASORE,1905,21.9,27.2,97.8,137.8,57.5,102.3,375.6,142.8,302.3,88.8,0.0,0.7,1354.5,49.1,293.0,922.9,89.5
BALASORE,1906,61.3,130.7,84.3,0.8,104.4,240.5,214.0,157.4,377.1,112.1,6.4,0.6,1489.6,192.0,189.5,989.1,119.1
BALASORE,1907,0.0,32.5,51.6,112.2,78.5,317.0,150.1,347.2,168.9,70.2,0.0,10.3,1338.4,32.5,242.3,983.1,80.4
BALASORE,1908,69.7,0.0,18.0,6.8,105.4,279.0,183.1,476.4,124.5,34.7,0.0,0.0,1297.5,69.7,130.2,1063.0,34.7
BALASORE,1909,4.3,29.6,9.4,175.6,90.3,269.8,237.2,263.6,277.8,34.9,0.0,27.0,1419.5,33.9,275.3,1048.4,61.9
BALASORE,1910,11.4,2.8,4.8,47.2,85.2,191.5,356.0,210.1,228.3,232.5,0.0,0.0,1369.8,14.2,137.2,985.9,232.5
BALASORE,1911,0.0,4.3,64.9,57.4,96.1,361.1,161.3,331.8,256.6,121.1,9.4,0.0,1464.1,4.3,218.5,1110.9,130.4
BALASORE,1912,0.0,71.6,74.1,61.8,61.8,108.4,280.1,367.5,201.6,110.8,80.6,0.0,1418.4,71.6,197.7,957.7,191.4
BALASORE,1913,5.0,126.4,29.2,12.4,129.9,368.4,692.6,388.7,113.5,174.4,18.2,0.8,2059.7,131.4,171.5,1563.3,193.5
BALASORE,1914,0.0,39.6,9.7,73.4,307.2,278.2,351.1,291.8,369.1,25.4,0.0,10.9,1756.4,39.6,390.3,1290.2,36.3
BALASORE,1915,17.1,20.1,71.5,15.4,104.2,210.7,231.3,312.1,338.3,189.1,181.7,0.0,1691.6,37.2,191.1,1092.5,370.8
BALASORE,1916,0.1,5.1,0.1,23.3,66.5,385.0,204.0,248.5,214.7,352.5,102.4,0.0,1602.2,5.2,89.9,1052.3,454.8
BALASORE,1917,1.6,65.4,33.4,45.0,224.8,320.8,338.9,309.3,220.9,567.8,1.9,0.0,2129.9,67.1,303.2,1189.9,569.7
BALASORE,1918,4.2,0.4,27.3,48.9,128.4,312.2,139.6,324.1,285.4,1.7,2.3,2.6,1277.0,4.6,204.6,1061.2,6.6
BALASORE,1919,49.9,59.5,21.6,59.1,124.7,444.9,257.9,511.8,119.1,61.2,82.4,0.0,1792.0,109.4,205.4,1333.6,143.5
BALASORE,1920,0.0,40.8,76.4,38.1,82.5,118.7,568.6,273.8,242.8,90.5,0.7,0.0,1533.0,40.8,197.0,1203.9,91.2
BALASORE,1921,67.1,4.5,10.0,74.1,39.2,196.5,366.8,284.4,343.9,86.6,0.0,0.0,1472.9,71.6,123.2,1191.5,86.6
BALASORE,1922,22.1,2.8,0.0,0.7,78.1,254.6,487.6,340.0,347.6,73.2,24.4,0.6,1631.7,24.9,78.8,1429.8,98.2
BALASORE,1923,0.0,135.6,3.5,14.4,59.9,94.0,204.9,392.5,200.5,95.7,72.9,3.5,1277.4,135.6,77.8,891.9,172.1
BALASORE,1924,22.2,7.6,0.6,11.5,68.0,77.1,198.1,363.6,251.4,152.5,151.7,0.0,1304.5,29.9,80.2,890.3,304.2
BALASORE,1925,20.0,0.0,7.6,51.4,109.3,311.4,350.1,384.6,199.5,389.9,3.7,15.9,1843.4,20.0,168.3,1245.6,409.5
BALASORE,1926,36.1,11.1,181.9,30.7,85.3,66.2,343.6,612.9,296.3,138.2,0.5,0.5,1803.2,47.2,297.9,1318.9,139.1
BALASORE,1927,5.8,11.0,14.8,25.6,48.0,233.0,530.0,377.3,223.7,101.4,11.4,0.0,1582.0,16.8,88.4,1364.0,112.9
BALASORE,1928,7.0,4.2,2.9,96.6,88.1,289.3,441.4,352.7,232.9,264.0,0.7,0.1,1779.9,11.2,187.5,1316.4,264.8
BALASORE,1929,39.8,30.0,37.2,35.1,28.7,198.5,514.6,452.3,152.2,268.2,0.0,18.0,1774.7,69.9,101.0,1317.7,286.2
BALASORE,1930,0.0,13.7,19.9,21.8,42.8,177.8,440.7,324.0,370.2,28.1,172.3,4.3,1615.6,13.7,84.5,1312.6,204.8
BALASORE,1931,4.5,93.6,52.0,37.3,44.6,127.1,196.3,452.3,298.8,281.3,53.3,2.7,1643.8,98.1,133.9,1074.4,337.4
BALASORE,1932,0.0,37.9,17.9,52.7,126.1,116.7,526.4,250.1,270.7,77.2,166.0,0.0,1641.7,37.9,196.7,1163.9,243.2
BALASORE,1933,11.0,100.1,11.0,36.7,174.3,273.7,413.0,532.4,421.1,281.2,29.5,13.0,2296.9,111.1,222.0,1640.2,323.7
BALASORE,1934,0.2,3.3,6.8,10.9,42.9,253.6,343.2,419.9,287.4,124.8,8.4,7.4,1508.9,3.5,60.7,1304.1,140.6
BALASORE,1935,0.0,11.4,16.3,44.9,28.4,162.3,560.9,150.5,319.0,14.4,0.0,4.0,1311.9,11.4,89.5,1192.6,18.4
BALASORE,1936,16.9,53.0,15.7,5.6,272.0,539.3,309.6,378.1,265.1,180.6,2.0,6.0,2043.9,69.9,293.3,1492.2,188.6
BALASORE,1937,0.0,121.4,53.0,42.4,95.1,304.8,417.5,265.4,424.7,102.7,2.0,0.0,1829.0,121.4,190.5,1412.3,104.8
BALASORE,1938,21.5,16.8,10.1,14.0,142.9,318.1,271.7,294.1,208.6,185.3,5.7,0.0,1488.8,38.3,167.0,1092.5,190.9
BALASORE,1939,12.4,17.3,25.1,22.2,38.8,236.1,443.5,407.0,254.0,200.6,42.8,0.4,1700.2,29.7,86.1,1340.7,243.7
BALASORE,1940,0.0,51.1,100.0,24.8,118.4,425.6,678.3,533.9,204.6,121.3,4.0,2.7,2264.9,51.1,243.3,1842.4,128.1
BALASORE,1941,66.3,3.7,7.5,25.3,88.0,328.5,518.2,408.8,215.4,294.7,56.2,0.0,2012.6,70.0,120.8,1470.8,350.9
BALASORE,1942,4.6,5.0,2.7,22.4,41.7,135.2,485.2,405.5,383.4,141.8,54.5,0.0,1682.0,9.6,66.8,1409.4,196.3
BALASORE,1943,70.3,9.0,45.6,146.6,44.6,181.7,490.3,575.0,295.4,60.4,6.8,0.0,1925.6,79.3,236.8,1542.4,67.1
BALASORE,1944,55.4,83.6,71.2,83.9,28.4,180.4,410.8,551.1,191.0,270.3,2.1,0.0,1928.1,138.9,183.4,1333.3,272.4
BALASORE,1945,30.1,9.3,0.0,99.1,121.2,249.3,450.3,282.4,364.7,475.6,0.0,0.0,2082.1,39.4,220.4,1346.7,475.6
BALASORE,1946,0.0,0.9,11.9,105.6,68.8,182.6,292.4,377.4,325.6,284.6,64.5,0.0,1714.4,0.9,186.3,1178.0,349.2
BALASORE,1947,10.2,31.8,18.4,24.0,55.0,229.3,293.0,401.4,228.0,104.9,0.5,71.4,1467.9,42.0,97.5,1151.6,176.8
BALASORE,1948,37.8,67.6,22.2,24.2,120.3,218.8,263.3,350.1,209.8,90.9,143.6,0.0,1548.6,105.4,166.7,1042.0,234.5
BALASORE,1949,3.2,2.6,6.3,55.8,90.1,134.3,272.1,296.1,293.8,360.4,0.0,0.0,1514.6,5.8,152.2,996.3,360.4
BALASORE,1950,0.0,22.5,93.8,6.2,78.8,267.8,367.8,202.1,221.9,66.4,162.4,0.0,1489.7,22.5,178.8,1059.6,228.8
BALASORE,1951,0.0,0.0,63.2,31.4,170.8,225.1,399.4,429.6,259.2,432.9,30.5,0.0,2042.1,0.0,265.4,1313.3,463.4
BALASORE,1952,0.1,3.6,26.6,67.7,82.2,305.9,404.7,293.1,204.3,256.1,0.1,0.0,1644.3,3.6,176.4,1208.1,256.2
BALASORE,1953,25.1,25.1,1.0,12.7,97.4,284.6,145.5,240.4,226.5,32.3,24.7,0.0,1115.3,50.2,111.1,897.0,57.0
BALASORE,1954,1.3,7.7,3.4,13.1,92.2,169.7,83.0,212.9,286.0,128.0,0.0,54.8,1052.1,9.0,108.7,751.6,182.8
BALASORE,1955,0.0,0.0,2.8,39.4,78.3,136.9,317.8,355.1,461.1,354.9,102.0,0.0,1848.3,0.0,120.5,1270.9,456.9
BALASORE,1956,3.7,88.9,42.7,12.4,150.3,448.3,324.9,478.4,412.5,345.9,9.6,0.0,2317.8,92.6,205.5,1664.2,355.5
BALASORE,1957,3.9,8.2,20.7,18.4,29.5,116.6,265.6,497.9,138.5,29.0,0.0,0.0,1128.3,12.1,68.6,1018.6,29.0
BALASORE,1958,3.4,63.5,9.8,17.9,72.4,111.3,280.1,287.3,444.6,127.5,40.2,3.5,1461.4,66.9,100.0,1123.2,171.2
BALASORE,1959,37.9,14.5,42.1,33.4,65.6,233.4,349.3,271.8,313.5,486.8,0.0,7.1,1855.4,52.4,141.1,1168.0,493.9
BALASORE,1960,0.0,2.3,65.4,28.1,126.7,160.1,218.6,836.4,305.8,307.1,0.1,0.0,2050.6,2.3,220.2,1520.9,307.2
BALASORE,1961,21.5,126.7,2.5,42.7,153.7,267.4,163.3,378.7,856.2,236.4,0.0,1.2,2250.3,148.2,198.9,1665.6,237.6
BALASORE,1962,11.0,3.2,11.2,78.6,76.8,219.1,140.3,254.5,363.4,364.7,0.0,0.0,1522.8,14.2,166.6,977.3,364.7
BALASORE,1963,0.0,2.8,33.7,236.1,128.7,287.4,296.8,325.5,235.4,66.0,1.2,2.8,1038.4,302.6
BALASORE,1964,0.0,27.8,9.1,79.2,46.0,286.5,480.6,371.6,86.6,5.1,27.8,1184.7
BALASORE,1965,0.0,32.5,82.9,53.2,37.5,99.7,412.8,288.5,362.4,314.3,0.0,0.0,1683.8,32.5,173.6,1163.4,314.3
BALASORE,1966,52.9,27.1,1.8,73.7,136.9,348.5,242.4,131.7,120.3,147.1,80.0,212.4,842.9
